"yyyy","mm","day","HH","MM","zm","d","z0","u_mean","L","sigma_v","u_star","wind_dir"
2021,1,4,2,30,30,12.654,1.9,2.57417,200.945,0.812002463050452,0.414783,342.401
2021,1,4,3,0,30,12.654,1.9,2.63439,218.719,0.823600631374212,0.414072,344.909
2021,1,4,3,30,30,12.654,1.9,2.34639,505.64,0.940573229472326,0.51298,349.416
2021,1,4,4,0,30,12.654,1.9,2.74604,602.236,1.08176245081811,0.577322,355.229
2021,1,4,4,30,30,12.654,1.9,2.55256,317.431,1.06707075679169,0.498966,352.891
2021,1,4,5,0,30,12.654,1.9,2.73374,360.07,1.02423141916268,0.483099,350.871
2021,1,4,5,30,30,12.654,1.9,2.41514,268.644,0.942681282300651,0.498027,348.705
2021,1,4,6,0,30,12.654,1.9,2.53655,369.809,0.931530461122984,0.486154,346.105
2021,1,4,6,30,30,12.654,1.9,2.60951,424.147,1.03170732283919,0.539906,347.659
2021,1,4,7,0,30,12.654,1.9,2.70839,527.13,0.934956148704312,0.499752,344.977
2021,1,4,7,30,30,12.654,1.9,2.61163,655.314,1.09669503509408,0.552007,347.315
2021,1,4,8,0,30,12.654,1.9,2.69005,946.228,1.06877967795051,0.548371,347.388
2021,1,4,8,30,30,12.654,1.9,2.76016,1554.07,1.11952221952045,0.59141,347.06
2021,1,4,9,0,30,12.654,1.9,2.85517,1369.96,1.04918063268438,0.569705,347.026
2021,1,4,9,30,30,12.654,1.9,2.93533,994.43,0.959007820614618,0.486017,347.667
2021,1,4,10,0,30,12.654,1.9,3.07947,411.078,1.00835509618388,0.414451,347.492
2021,1,4,10,30,30,12.654,1.9,2.54484,1164.85,1.01288696309114,0.543404,342.964
2021,1,4,11,0,30,12.654,1.9,2.43506,2284.45,0.856343972945451,0.497833,339.065
2021,1,4,11,30,30,12.654,1.9,2.62196,2339.11,0.95674918343315,0.514627,346.039
2021,1,4,12,0,30,12.654,1.9,2.73152,-7202.96,0.981221687489631,0.560356,343.605
2021,1,4,12,30,30,12.654,1.9,2.77784,3401.91,1.16063775571881,0.470655,349.525
2021,1,4,13,0,30,12.654,1.9,2.63601,-706.62,1.18281866742117,0.549235,351.254
2021,1,4,13,30,30,12.654,1.9,2.88841,-382.51,1.17692395676186,0.619041,351.407
2021,1,4,14,0,30,12.654,1.9,2.73919,-482.38,1.08438922901327,0.625749,346.947
2021,1,4,14,30,30,12.654,1.9,3.47036,-812.809,1.23481172653972,0.712414,354.19
2021,1,4,15,0,30,12.654,1.9,3.14533,-759.16,1.14625477098244,0.544181,350.873
2021,1,4,15,30,30,12.654,1.9,3.22844,-1167.92,1.23151126669633,0.671746,351.336
2021,1,4,16,0,30,12.654,1.9,2.59847,-2545.75,1.17129415605133,0.599038,348.717
2021,1,4,16,30,30,12.654,1.9,2.7326,8377.61,1.0992906803935,0.626646,347.364
2021,1,4,17,0,30,12.654,1.9,2.91132,4508.9,1.15281828576754,0.576812,351.165
2021,1,4,17,30,30,12.654,1.9,2.43764,4191.88,1.02467555840861,0.531655,354.751
2021,1,4,18,0,30,12.654,1.9,2.47384,4694.75,1.00237218636592,0.536203,354.538
2021,1,4,18,30,30,12.654,1.9,2.49792,10766.4,0.941996284493734,0.498713,355.738
2021,1,4,19,0,30,12.654,1.9,2.66129,-17007.8,1.12609502263353,0.595346,354.476
2021,1,4,19,30,30,12.654,1.9,2.72028,-7774.15,1.07509999534927,0.589502,354.044
2021,1,4,20,0,30,12.654,1.9,3.0205,869.683,1.28943010667504,0.667375,358.874
2021,1,4,20,30,30,12.654,1.9,3.13285,968.993,1.24756162172455,0.709736,350.804
2021,1,4,21,0,30,12.654,1.9,2.67051,684.809,1.10431426686428,0.596933,349.831
2021,1,4,21,30,30,12.654,1.9,2.59721,378.6,0.958043318436071,0.454786,353.253
2021,1,4,22,0,30,12.654,1.9,2.29794,329.341,0.952112388323984,0.49744,349.871
